ville,date_extraction,date_observation,temperature_moy,temp_min,temp_max,humidite_moy,precipitation,vent_moyen,visibilite_moy,conditions,annee,mois,jour,saison,temp_ideale,peu_vent,peu_pluie,bonne_visibilite,score_meteo,periode_recommandee
Lyon,2025-07-04 15:22:58,2020-01-01 12:00:00,-0.1,-0.7,0.5,99,0.0,6.9,0.2,Partially cloudy,2020,1,1,Hiver,False,True,True,False,50,False
Toulouse,2025-07-04 15:22:58,2020-01-01 12:00:00,8.2,4.9,11.2,80,0.0,7.9,19.5,Partially cloudy,2020,1,1,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-01 12:00:00,8.8,5.8,14.0,65,0.0,23.6,25.6,Clear,2020,1,1,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-01 12:00:00,2.2,-0.7,4.5,98,0.028,10.8,1.8,Rain,2020,1,1,Hiver,False,True,True,False,50,False
Marseille,2025-07-04 15:22:58,2020-01-01 12:00:00,4.8,0.7,10.7,88,0.039,8.7,9.0,Snow,2020,1,1,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-02 12:00:00,0.5,-0.8,3.2,97,0.0,10.5,2.8,Partially cloudy,2020,1,2,Hiver,False,True,True,False,50,False
Toulouse,2025-07-04 15:22:58,2020-01-02 12:00:00,5.7,0.5,11.4,87,0.011,22.9,8.1,Rain,2020,1,2,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-02 12:00:00,6.1,0.8,9.5,90,0.044,9.8,8.5,Rain,2020,1,2,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-02 12:00:00,7.1,4.3,9.1,96,0.842,14.8,10.4,Rain,2020,1,2,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-02 12:00:00,9.0,6.1,13.8,68,0.009,22.5,21.5,Rain,2020,1,2,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-03 12:00:00,9.8,8.5,12.7,82,0.0,21.9,15.1,Overcast,2020,1,3,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-03 12:00:00,9.3,7.1,13.1,71,0.0,18.1,24.6,Partially cloudy,2020,1,3,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-03 12:00:00,5.1,1.7,9.8,91,0.007,9.5,6.4,Rain,2020,1,3,Hiver,False,True,True,True,70,False
Paris,2025-07-04 15:22:58,2020-01-03 12:00:00,9.8,8.4,12.0,86,0.378,23.4,19.3,Rain,2020,1,3,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-03 12:00:00,7.3,2.9,10.1,89,0.003,13.4,7.7,Rain,2020,1,3,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-04 12:00:00,10.8,8.3,13.5,68,0.0,41.3,49.1,Clear,2020,1,4,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-04 12:00:00,9.2,6.1,15.2,64,0.0,27.1,25.2,Partially cloudy,2020,1,4,Hiver,False,False,True,True,50,False
Toulouse,2025-07-04 15:22:58,2020-01-04 12:00:00,9.4,8.1,10.8,86,0.0,21.0,33.7,Overcast,2020,1,4,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-04 12:00:00,6.9,3.8,9.0,79,0.0,16.8,21.9,Partially cloudy,2020,1,4,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-04 12:00:00,6.5,4.0,8.8,86,0.076,29.5,21.4,Rain,2020,1,4,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-05 12:00:00,10.5,7.6,15.1,64,0.0,23.6,26.1,Clear,2020,1,5,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-05 12:00:00,7.7,6.8,8.9,78,0.0,7.3,22.0,Overcast,2020,1,5,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-05 12:00:00,3.2,1.3,7.9,92,0.0,10.3,14.1,Partially cloudy,2020,1,5,Hiver,False,True,True,True,70,False
Lyon,2025-07-04 15:22:58,2020-01-05 12:00:00,3.2,-0.3,6.9,84,0.0,18.0,26.9,Partially cloudy,2020,1,5,Hiver,False,True,True,True,70,False
Marseille,2025-07-04 15:22:58,2020-01-05 12:00:00,7.6,3.0,12.8,66,0.0,35.0,43.6,Clear,2020,1,5,Hiver,False,False,True,True,50,False
Lyon,2025-07-04 15:22:58,2020-01-06 12:00:00,2.0,-3.4,9.7,86,0.0,8.2,8.6,Clear,2020,1,6,Hiver,False,True,True,True,70,False
Nice,2025-07-04 15:22:58,2020-01-06 12:00:00,10.3,6.8,14.7,64,0.009,23.6,29.4,Rain,2020,1,6,Hiver,False,False,True,True,50,False
Paris,2025-07-04 15:22:58,2020-01-06 12:00:00,4.4,1.2,7.7,84,0.081,22.0,16.4,Rain,2020,1,6,Hiver,False,False,True,True,50,False
Marseille,2025-07-04 15:22:58,2020-01-06 12:00:00,7.6,2.6,14.1,85,0.024,7.9,15.5,Rain,2020,1,6,Hiver,False,True,True,True,70,False
Toulouse,2025-07-04 15:22:58,2020-01-06 12:00:00,5.1,-0.9,13.1,86,0.0,24.1,13.5,Clear,2020,1,6,Hiver,False,False,True,True,50,False
Nice,2025-07-04 15:22:58,2020-01-07 12:00:00,9.8,7.7,13.8,68,0.0,21.8,26.9,Partially cloudy,2020,1,7,Hiver,False,False,True,True,50,False
